run_id,configuration_id,dataset_index,true_label,repetition,execution_order,encrypt_seconds,act3_fc2_seconds,decrypt_seconds,online_total_seconds
997,least_squares_d5_I1,411,7,2,997,0.012385299996822141,0.21670799999265,0.007751600001938641,0.23684489999141078
998,chebyshev_d3_I1,586,0,24,998,0.009250300005078316,0.16742949999752454,0.007735199993476272,0.18441499999607913
999,chebyshev_d5_I2,120,5,25,999,0.012395600002491847,0.2180571999924723,0.007674399996176362,0.23812719999114051
1000,least_squares_d5_I2,603,8,15,1000,0.013012300012633204,0.21897080000780988,0.007699299996602349,0.23968240001704544
1001,least_squares_d3_I1,120,5,26,1001,0.009345099999336526,0.16882540000369772,0.00784659999771975,0.186017100000754
1002,least_squares_d5_I1,411,7,20,1002,0.012330900004599243,0.2198462000087602,0.007734900005743839,0.2399120000191033
1003,least_squares_d5_I2,259,6,5,1003,0.012344400005531497,0.21600080000644084,0.00767700000142213,0.23602220001339447
1004,least_squares_d5_I2,633,2,23,1004,0.012422899992088787,0.21761140000307932,0.007747599986032583,0.2377818999812007
1005,chebyshev_d5_I2,120,5,8,1005,0.012747500004479662,0.21672789999865927,0.007725000003119931,0.23720040000625886
1006,chebyshev_d3_I1,586,0,18,1006,0.009332799992989749,0.16831429999729153,0.007941899995785207,0.18558899998606648
1007,least_squares_d3_I1,603,8,27,1007,0.009434599996893667,0.16787639999529347,0.007852200011257082,0.18516320000344422
1008,least_squares_d5_I2,481,9,28,1008,0.012563500000396743,0.21810019999975339,0.0077523999934783205,0.23841609999362845
1009,chebyshev_d3_I1,481,9,9,1009,0.00948229999630712,0.1664147999981651,0.007753400001092814,0.18365049999556504
1010,chebyshev_d5_I2,589,4,23,1010,0.012497099989559501,0.2195034000033047,0.007773000004817732,0.23977349999768194
1011,chebyshev_d3_I1,589,4,12,1011,0.009433499988517724,0.16683289999491535,0.007787700000335462,0.18405409998376854
1012,chebyshev_d5_I1,120,5,6,1012,0.012530499996501021,0.2203841000009561,0.0077366999903460965,0.2406512999878032
1013,chebyshev_d3_I1,949,1,7,1013,0.00954309999360703,0.16755550001107622,0.007742900008452125,0.18484150001313537
1014,least_squares_d3_I1,481,9,14,1014,0.009560899998177774,0.16854469999088906,0.007773699995595962,0.1858792999846628
1015,chebyshev_d5_I2,589,4,9,1015,0.012626499999896623,0.22587629999907222,0.007759500003885478,0.24626230000285432
1016,chebyshev_d5_I2,481,9,20,1016,0.012865500000771135,0.22211349999997765,0.007728900003712624,0.2427079000044614
1017,chebyshev_d5_I1,112,3,2,1017,0.012520199990831316,0.22134689999802504,0.007972199993673712,0.24183929998253006
1018,chebyshev_d5_I2,120,5,14,1018,0.012689600000157952,0.22340969998913351,0.008056199993006885,0.24415549998229835
1019,least_squares_d3_I1,949,1,27,1019,0.009696299995994195,0.17001210000307765,0.00785469998663757,0.18756309998570941
1020,chebyshev_d5_I2,481,9,18,1020,0.01274340000236407,0.22587900000507943,0.010559100002865307,0.2491815000103088
1021,least_squares_d5_I1,586,0,4,1021,0.01275579999492038,0.22232030000304803,0.00784080001176335,0.24291690000973176
1022,chebyshev_d3_I1,633,2,8,1022,0.009424400006537326,0.1696844000107376,0.007829700000002049,0.18693850001727697
1023,chebyshev_d5_I2,481,9,14,1023,0.012457699995138682,0.22790729999542236,0.007849200002965517,0.24821419999352656
1024,least_squares_d3_I1,112,3,6,1024,0.009449199991649948,0.17102429999795277,0.007943199991132133,0.18841669998073485
1025,least_squares_d5_I2,586,0,29,1025,0.01292549999197945,0.22288929999922402,0.007755599988740869,0.24357039997994434
1026,least_squares_d5_I2,586,0,8,1026,0.012662499997531995,0.2234796999982791,0.007678900001337752,0.24382109999714885
1027,chebyshev_d5_I2,112,3,16,1027,0.01313300000037998,0.22977279999759048,0.008046900009503588,0.25095270000747405
1028,least_squares_d5_I1,589,4,29,1028,0.012541500007500872,0.22390710000763647,0.007698900008108467,0.2441475000232458
1029,chebyshev_d5_I2,586,0,1,1029,0.012540600000647828,0.22404059999098536,0.007983399991644546,0.24456459998327773
1030,least_squares_d5_I2,586,0,16,1030,0.012741300000925548,0.2227296000055503,0.007984700001543388,0.24345560000801925
1031,chebyshev_d3_I1,259,6,0,1031,0.009687700003269129,0.16917459999967832,0.007728199998382479,0.18659050000132993
1032,chebyshev_d3_I1,112,3,1,1032,0.009393800006364472,0.17010750000190455,0.007789499999489635,0.18729080000775866
