configuration_id,activation,method,degree,effective_degree,interval_name,lower_bound,upper_bound,mae_uniform,rmse_uniform,max_error_uniform,x_at_max_error_uniform,mae_empirical,rmse_empirical,median_abs_error_empirical,p95_abs_error_empirical,p99_abs_error_empirical,max_error_empirical,fraction_outside_interval,mae_inside_interval,mae_outside_interval,outside_error_contribution,mae_origin_uniform,rmse_origin_uniform,max_error_origin_uniform,origin_empirical_sample_count,origin_empirical_fraction,mae_origin_empirical,rmse_origin_empirical,max_error_origin_empirical,bias_ratio,bias_ratio_denominator_clamped,max_abs_output_uniform,max_abs_output_empirical,valid,invalid_reason,practically_viable,practical_viability_reason
act1_taylor_d5_I1,act1,taylor,5,4,I1,-6.6096,7.235,1.681790894558101,2.876328367267659,10.652150633505904,7.235,0.7373789077356301,1.878782999890953,0.502614830863487,1.7370395801404193,8.888376888255419,36.88767941874508,0.00978,0.6006652235961256,14.57956953233891,0.1933716689349571,0.5784465607092804,0.5818988247278181,0.6931471805599453,43482,0.43482,0.5947583715958886,0.5966116595361509,0.6931092525634833,2.2807689193641374,False,7.091101073935417,36.88767941874508,True,,True,
act1_taylor_d5_I2,act1,taylor,5,4,I2,-8.4503,8.7557,4.2649106568655855,7.34536662970747,24.711842282026545,8.7557,0.7373789077356301,1.878782999890953,0.502614830863487,1.7370395801404193,8.888376888255419,36.88767941874508,0.00083,0.7148759911710512,27.826823659338437,0.03132211051191544,0.5784465607092804,0.5818988247278181,0.6931471805599453,43482,0.43482,0.5947583715958886,0.5966116595361509,0.6931092525634833,5.783879376157405,False,21.163562111097423,36.88767941874508,True,,True,
act1_taylor_d7_I1,act1,taylor,7,6,I1,-6.6096,7.235,4.222199034013989,8.595337422990326,39.148925224447694,7.235,1.5236897434697771,7.945244820838928,0.5029768840961004,2.997275564456888,30.198845333016678,235.56134360190285,0.00978,0.9012299836987328,64.54742218932698,0.4143059909126043,0.5784473380855816,0.5818994905707162,0.6931471805599453,43482,0.43482,0.5947586813785919,0.5966119226468432,0.6931092525634833,2.7710359357011303,False,46.383925224447694,235.56134360190285,True,,True,
act1_taylor_d7_I2,act1,taylor,7,6,I2,-8.4503,8.7557,16.15772835465504,32.28390662158791,131.72993771859217,8.7557,1.5236897434697771,7.945244820838928,0.5029768840961004,2.997275564456888,30.198845333016678,235.56134360190285,0.00083,1.3942219867754084,157.37947101613537,0.08572936944888174,0.5784473380855816,0.5818994905707162,0.6931471805599453,43482,0.43482,0.5947586813785919,0.5966119226468432,0.6931092525634833,10.604342796099901,False,140.48563771859216,235.56134360190285,True,,True,
act1_taylor_d9_I1,act1,taylor,9,8,I1,-6.6096,7.235,12.587822565096648,29.73991118571397,158.69225717482163,7.235,4.9916187585233,42.5365186217582,0.50331239013772,5.586426152725936,113.03472384690737,1671.5618102463245,0.00978,1.8252911932033749,325.5806659702919,0.6379050699239396,0.5784473266024225,0.5818994808338808,0.6931471805599453,43482,0.43482,0.5947586771597309,0.5966119191261816,0.6931092525634833,2.5217916619939493,False,151.45725717482162,1671.5618102463245,True,,True,
act1_taylor_d9_I2,act1,taylor,9,8,I2,-8.4503,8.7557,72.94056038656616,163.9574583166657,778.4670570934003,8.7557,4.9916187585233,42.5365186217582,0.50331239013772,5.586426152725936,113.03472384690737,1671.5618102463245,0.00083,4.172430111375559,991.1467037833525,0.16480660962648366,0.5784473266024225,0.5818994808338808,0.6931471805599453,43482,0.43482,0.5947586771597309,0.5966119191261816,0.6931092525634833,14.612606433938597,False,769.7113570934002,1671.5618102463245,True,,True,
act2_chebyshev_d3_I1,act2,chebyshev,3,3,I1,-18.4731,9.093,0.252476290182116,0.33971307427833825,1.0643137482600944,0.0007909990999088734,0.41415241391585095,0.5280464624823197,0.3055802368288339,0.9721210963990464,1.0516479251773874,9.381451825304364,0.00943,0.4067848752743275,1.188072111915201,0.027051683483937678,0.9433206170196988,0.9460545059751181,1.0647637304197353,12765,0.12765,0.9411168459410293,0.9437327705378266,1.0647539104903172,0.6096216796008221,False,9.522571281113844,25.99284480015788,True,,True,
act2_chebyshev_d3_I2,act2,chebyshev,3,3,I2,-24.8339,12.2336,0.3396767477147991,0.45711379483556275,1.4323412435906662,0.00010165016501417767,0.6121004658652175,0.7450646343451423,0.5374560219596463,1.332707751207022,1.4117844264174397,4.0835919043115005,0.001,0.6118608728500435,0.851453888023934,0.0013910361705416858,1.3100270488258459,1.3120401121402545,1.4323990785181673,12765,0.12765,1.3078044879700146,1.3097294358217872,1.4323892577012298,0.5549362672590986,False,12.811779289567536,20.694984879165016,True,,True,
act2_chebyshev_d5_I1,act2,chebyshev,5,5,I1,-18.4731,9.093,0.15001509263799234,0.19242933078034888,0.6989769137947766,0.0007909990999088734,0.26178917789686756,0.6941707721590673,0.20660726059099693,0.6081053487173854,0.6892761332609397,49.785244985765786,0.00943,0.23726801344731638,2.8376035860402284,0.10221431623464958,0.5802131948979169,0.5840814460344058,0.6993740017971418,12765,0.12765,0.5778797305252775,0.5816237008729082,0.699365335739138,0.5730377926359168,False,9.030897005299751,49.785244985765786,True,,True,
act2_chebyshev_d5_I2,act2,chebyshev,5,5,I2,-24.8339,12.2336,0.2016573032895853,0.2586736185877619,0.9402710339429742,0.00010165016501417767,0.35586902471063275,0.43125317367371163,0.30991090935370785,0.8387910392609094,0.9198323638857331,4.434393554618301,0.001,0.3552738068804197,0.9504916370934516,0.0026709029757965687,0.8196499850457929,0.8225000970691971,0.9403220764601251,12765,0.12765,0.8172853706227292,0.8200408289654277,0.9403134090116461,0.5666615785219257,False,12.149493656221436,13.186412129235672,True,,True,
