run_id,configuration_id,dataset_index,true_label,repetition,execution_order,encrypt_seconds,act3_seconds,fc2_seconds,decrypt_seconds,online_total_seconds,timing_residual_seconds,timing_residual_ratio
83,least_squares_d3_I1,586,0,13,83,0.009497399994870648,0.040925099994638,0.13376700000662822,0.007960700007970445,0.19215020000410732,0.0,0.0
84,least_squares_d5_I1,112,3,11,84,0.01258100000268314,0.08127059999969788,0.14507610000146087,0.007840400008717552,0.24676810001255944,0.0,0.0
85,chebyshev_d5_I1,481,9,11,85,0.012825199999497272,0.0818349000037415,0.1422175000043353,0.007884399994509295,0.24476200000208337,0.0,0.0
86,least_squares_d5_I2,411,7,23,86,0.012971699994523078,0.0813958999933675,0.14274710000609048,0.008035699996980838,0.2451503999909619,0.0,0.0
87,least_squares_d5_I2,112,3,14,87,0.012797300005331635,0.08143950000521727,0.141880899987882,0.007762000008369796,0.2438797000068007,0.0,0.0
88,chebyshev_d5_I2,481,9,4,88,0.012819399998988956,0.08137719999649562,0.1425976000027731,0.007792199990944937,0.24458639998920262,0.0,0.0
89,chebyshev_d5_I2,633,2,28,89,0.013120100004016422,0.08154500000819098,0.14418909999949392,0.008233800006564707,0.24708800001826603,0.0,0.0
90,least_squares_d5_I1,603,8,27,90,0.012576500012073666,0.08158579999872018,0.1427356000058353,0.00807479998911731,0.24497270000574645,0.0,0.0
91,chebyshev_d5_I1,949,1,20,91,0.012468799992348067,0.08106110000517219,0.14028620001045056,0.008352000004379079,0.2421681000123499,0.0,0.0
92,least_squares_d3_I1,112,3,17,92,0.009651500004110858,0.0387025999953039,0.1405118999973638,0.008408699999563396,0.19727469999634195,0.0,0.0
93,chebyshev_d3_I1,112,3,9,93,0.010321800000383519,0.039012799999909475,0.1330387000052724,0.00781700000516139,0.1901903000107268,0.0,0.0
94,least_squares_d5_I2,633,2,15,94,0.012969500006875023,0.083578400008264,0.14232470000570174,0.007728900003712624,0.2466015000245534,0.0,0.0
95,chebyshev_d5_I1,603,8,24,95,0.012610999998287298,0.08109739999054,0.14073039998766035,0.00789769999391865,0.2423364999704063,0.0,0.0
96,least_squares_d3_I1,586,0,8,96,0.009548500005621463,0.039198899990879,0.13181700000131968,0.007760299995425157,0.1883246999932453,0.0,0.0
97,chebyshev_d5_I1,481,9,17,97,0.012951099997735582,0.08165739999094512,0.1423586000018986,0.008263300012913533,0.24523040000349283,0.0,0.0
98,least_squares_d3_I1,633,2,24,98,0.009611600005882792,0.03937120000773575,0.13343679999525193,0.007894600013969466,0.19031420002283994,0.0,0.0
99,least_squares_d5_I1,949,1,2,99,0.012666100010392256,0.08073390000208747,0.1405461000103969,0.007805000001098961,0.2417511000239756,0.0,0.0
100,least_squares_d5_I1,949,1,21,100,0.012964399997144938,0.08018729998730123,0.14105960000597406,0.0077775999961886555,0.24198889998660889,0.0,0.0
101,chebyshev_d3_I1,112,3,16,101,0.009579699995811097,0.03851359999680426,0.13011709999409504,0.0077363999880617484,0.18594679997477215,0.0,0.0
102,chebyshev_d3_I1,603,8,14,102,0.009686699995654635,0.03903919999720529,0.13832810000167228,0.008084800007054582,0.1951388000015868,0.0,0.0
103,chebyshev_d5_I1,112,3,19,103,0.012626700001419522,0.08256019999680575,0.14075180000509135,0.008024800001294352,0.24396350000461098,0.0,0.0
104,least_squares_d5_I2,633,2,24,104,0.01272189999872353,0.08017529999779072,0.14200890000211075,0.0078267000062624,0.2427328000048874,0.0,0.0
105,least_squares_d3_I1,481,9,3,105,0.009757099993294105,0.03937759999826085,0.1305445000034524,0.007972400009748526,0.1876516000047559,0.0,0.0
106,least_squares_d5_I2,949,1,17,106,0.012520600008429028,0.08081849999143742,0.1427413999917917,0.007764200010569766,0.2438447000022279,0.0,0.0
107,least_squares_d3_I1,633,2,15,107,0.009837699995841831,0.03832390000752639,0.1312781000015093,0.007697300010477193,0.18713700001535472,0.0,0.0
108,least_squares_d3_I1,949,1,25,108,0.009868599998299032,0.039191400006529875,0.1316203000023961,0.00793030000932049,0.1886106000165455,0.0,0.0
109,chebyshev_d3_I1,586,0,1,109,0.010061299995868467,0.03904069999407511,0.15477339999051765,0.008123999999952503,0.21199939998041373,0.0,0.0
110,least_squares_d5_I2,586,0,1,110,0.012843400007113814,0.08397330000298098,0.14839180000126362,0.008230599996750243,0.25343910000810865,0.0,0.0
111,chebyshev_d5_I2,411,7,5,111,0.012613099999725819,0.08157319999008905,0.1427597000001697,0.007623800003784709,0.24456979999376927,0.0,0.0
112,chebyshev_d5_I2,603,8,21,112,0.013035799987846985,0.08512550000159536,0.14134159999957774,0.007726900003035553,0.24722979999205563,0.0,0.0
113,least_squares_d5_I1,949,1,18,113,0.012824200006434694,0.08118579999427311,0.14043349999701604,0.007895299990195781,0.24233879998791963,0.0,0.0
114,chebyshev_d5_I2,949,1,11,114,0.012559100010548718,0.08177450000948738,0.1424527999915881,0.007674799999222159,0.24446120001084637,0.0,0.0
