configuration_id,method,degree,interval_name,valid,practically_viable,eligible_for_ckks,validation_accuracy,validation_macro_f1,validation_loss,delta_accuracy_vs_relu,delta_f1_vs_relu,delta_accuracy_relative,delta_f1_relative,prediction_change_fraction,functional_mae_mean,functional_mae_max,functional_rmse_mean,functional_rmse_max,functional_p99_mean,functional_max_error_max,act1_functional_mae,act2_functional_mae,act3_functional_mae,act1_max_abs,act2_max_abs,act3_max_abs,logits_max_abs,amplification_act1_act2,amplification_act2_act3,amplification_act3_logits,max_abs_coefficient,max_effective_degree,first_non_finite_layer
least_squares_d5_I1,least_squares,5,I1,True,True,True,0.983,0.9831421063379222,0.05562040670712789,0.005666666666666709,0.005497392533656775,0.5731625084288646,0.5560563319522871,0.010833333333333334,0.22770825244849094,0.2558918140901394,0.6216509488416481,0.8806635134178414,0.6016091914185181,118.87901376091804,0.18770930291712684,0.2558918140901394,0.23952364033820667,7.9186506271362305,88.5545883178711,58.83464050292969,31.256362915039062,11.183040203136928,0.6643883916182769,0.5312578210362671,0.7726073077285118,5,
least_squares_d5_I2,least_squares,5,I2,True,True,True,0.9838333333333333,0.9837777591673669,0.06081681538621585,0.004833333333333356,0.004861739704212109,0.488873904248148,0.4917606174709021,0.010333333333333333,0.2972929581008317,0.3325321234661016,0.36777425829262955,0.4072900510323904,0.77854479553582,24.900375597172538,0.24766808991388858,0.3325321234661016,0.31167866092250485,8.945454597473145,12.796774864196777,15.690139770507812,30.667888641357422,1.4305337671503133,1.2261011025836641,1.9545962680970368,1.0117264882639874,5,
least_squares_d7_I1,least_squares,7,I1,True,True,False,0.741,0.7430477691763907,4.118530326335862e+17,0.2476666666666667,0.24559172969518828,25.05057316250843,24.84138353520203,0.25416666666666665,0.21908981639986536,0.27475298667656234,4.21943279868696,9.207570622175703,0.45666695288802894,2415.8260399979936,0.1291468027777225,0.2533696597453113,0.27475298667656234,28.522476196289062,87016.375,2.7873853328207034e+21,1.229278910389007e+21,3050.800161990083,3.2032882693868868e+16,0.44101506021237263,0.5559079929802128,7,
least_squares_d7_I2,least_squares,7,I2,True,True,True,0.9863333333333333,0.9862994431211136,0.050605597068866096,0.0023333333333334094,0.002340055750465364,0.23600809170600903,0.23669454367707088,0.007166666666666667,0.20526393643572974,0.2512464479040085,0.45578917975013783,0.8541068885702086,0.586693610009536,229.1596058566048,0.16000372498671595,0.2512464479040085,0.20454163641646483,13.189543724060059,39.74281311035156,151.26710510253906,46.699806213378906,3.0132060624546577,3.8061499240761005,0.3087241352422413,0.7344625011003194,7,
least_squares_d9_I1,least_squares,9,I1,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,0.5773373236133784,1.336672626297209,50.900209553914806,146.3698504446808,0.36091130892218204,42079.42672777371,0.11478692155492867,0.28055242298799754,1.336672626297209,100.66363525390625,1371875840.0,2.960371625141853e+38,2.30452699324816e+36,13628316.08991342,2.1579005467009703e+29,0.007784586819020512,0.5148590079067634,9,act3
least_squares_d9_I2,least_squares,9,I2,True,True,True,0.9815,0.9813354499272826,0.42025288370996716,0.0071666666666666545,0.007304048944296371,0.7248819959541458,0.7387980100565598,0.011833333333333333,0.15749319932635397,0.1814725732892249,2.0761826893524113,5.823215110446995,0.4602623358378782,1745.5550728715962,0.11492141217037442,0.1760856125194626,0.1814725732892249,8.755838394165039,68.6623764038086,1611.57763671875,528.468505859375,7.841896265417359,23.471043694161086,0.3279199796637549,0.5830546495686649,9,
taylor_d3_I1,taylor,3,I1,True,False,False,0.08716666666666667,0.07587439073931572,164.14070955403645,0.9015,0.9127651081322633,91.18341200269724,92.32537332102169,0.913,1.5377774130159558,2.0252478141718684,3.534186386482214,5.359759496340639,15.733373338701597,139.52309977586643,0.5682157765553628,2.0198686483206365,2.0252478141718684,19.83341407775879,176.37362670898438,2118.144287109375,1453.31689453125,8.892751697589024,12.009416184451947,0.6861274292671471,0.6931471805599453,2,
taylor_d3_I2,taylor,3,I2,True,False,False,0.08716666666666667,0.07587439073931572,164.14070955403645,0.9015,0.9127651081322633,91.18341200269724,92.32537332102169,0.913,1.5377774130159558,2.0252478141718684,3.534186386482214,5.359759496340639,15.733373338701597,139.52309977586643,0.5682157765553628,2.0198686483206365,2.0252478141718684,19.83341407775879,176.37362670898438,2118.144287109375,1453.31689453125,8.892751697589024,12.009416184451947,0.6861274292671471,0.6931471805599453,2,
taylor_d5_I1,taylor,5,I1,True,False,False,0.1525,0.15000351630835115,78842396104840.6,0.8361666666666667,0.8386359825632278,84.5751854349292,84.82727865116017,0.8478333333333333,9.33848145061392,15.583804633046284,56.29427603974106,96.44389843990746,176.54044868072836,8026.966557407388,0.7373789077356301,15.583804633046284,11.694260811059847,44.31856155395508,594816.9375,8.398419595089674e+17,3.7731861502990746e+17,13421.395384772002,1411933498462.2346,0.4492733552518801,0.6931471805599453,4,
taylor_d5_I2,taylor,5,I2,True,False,False,0.1525,0.15000351630835115,78842396104840.6,0.8361666666666667,0.8386359825632278,84.5751854349292,84.82727865116017,0.8478333333333333,9.33848145061392,15.583804633046284,56.29427603974106,96.44389843990746,176.54044868072836,8026.966557407388,0.7373789077356301,15.583804633046284,11.694260811059847,44.31856155395508,594816.9375,8.398419595089674e+17,3.7731861502990746e+17,13421.395384772002,1411933498462.2346,0.4492733552518801,0.6931471805599453,4,
taylor_d7_I1,taylor,7,I1,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,160.31425427193915,304.9823742626467,2318.1801199105616,3606.3170458403215,2829.918527084936,673703.1496095711,1.5236897434697771,304.9823742626467,174.43669880970097,390.2934265136719,1103097626624.0,3.372316694100436e+38,1.601537725647643e+36,2826328991.6960874,3.0571334872882638e+26,0.004749072732253732,0.6931471805599453,6,act3
taylor_d7_I2,taylor,7,I2,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,160.31425427193915,304.9823742626467,2318.1801199105616,3606.3170458403215,2829.918527084936,673703.1496095711,1.5236897434697771,304.9823742626467,174.43669880970097,390.2934265136719,1103097626624.0,3.372316694100436e+38,1.601537725647643e+36,2826328991.6960874,3.0571334872882638e+26,0.004749072732253732,0.6931471805599453,6,act3
taylor_d9_I1,taylor,9,I1,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,4933.500699724539,9630.35223108991,145459.97808364267,254218.01435545576,52212.31019139084,64112377.219392255,4.9916187585233,9630.35223108991,5165.1582493251835,3126.697265625,3.363638581771296e+22,8.722484413326923e+30,nan,1.0757800631200324e+19,259316933.17459965,nan,0.6931471805599453,8,act3
taylor_d9_I2,taylor,9,I2,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,4933.500699724539,9630.35223108991,145459.97808364267,254218.01435545576,52212.31019139084,64112377.219392255,4.9916187585233,9630.35223108991,5165.1582493251835,3126.697265625,3.363638581771296e+22,8.722484413326923e+30,nan,1.0757800631200324e+19,259316933.17459965,nan,0.6931471805599453,8,act3
